Sugar Mill Source,Ethanol Plant Destination,Bagasse Allocated (MT),Transport Distance (km),Ton-Kilometers
Mahesh Sahakari Sakhar Karkhana Ltd. (Closed),Shri Saikrupa Sugar & Allied Industries,3458.0,41.76,144407.39
The Malegaon Sahakari Sakhar Karkhana Ltd.,Shri Someshwar SSK Ltd.,11065.6,8.34,92257.48
Shri Chhatrapati Sahakari Sakhar Karkhana Ltd.,Shri Someshwar SSK Ltd.,5102.4,11.7,59677.8
Shri Someshwar Sahakari Sakhar Karkhana Ltd.,Shri Someshwar SSK Ltd.,13832.0,31.34,433499.15
Bhimashankar Sahakari Sakhar Karkhana Ltd.,Shri Vighnahar SSK Ltd.,6916.0,9.55,66080.6
Parag Agro Foods & Allied Products Pvt. Ltd.,Shri Vighnahar SSK Ltd.,12448.8,14.0,174328.36
Venkateshkrupa Sugar Mills Ltd.,Shri Vighnahar SSK Ltd.,6916.0,18.04,124761.89
Shri Vighnahar Sahakari Sakhar Karkhana Ltd.,Shri Vighnahar SSK Ltd.,13832.0,33.37,461545.62
Sahakar Shiromani Vasantrao Kale Sahakari Sakhar Karkhana Ltd.,Shri Vitthal SSK Ltd.,6916.0,8.76,60580.8
Sitaram Maharaj Sakhar Karkhana (Khardi) Ltd.,Shri Vitthal SSK Ltd.,6916.0,14.94,103308.23
Shri Sant Damaji Sahakari Sakhar Karkhana Ltd.,Shri Vitthal SSK Ltd.,6916.0,21.62,149527.6
Utopian Sugars Ltd.,Shri Vitthal SSK Ltd.,13693.68,23.56,322651.82
Rajarambapu Patil SSK Ltd. (Unit-4),Shri Vitthal SSK Ltd.,3642.32,68.08,247968.13
Shripati Sugar and Power Ltd.,Shri Vitthal SSK Ltd.,6916.0,84.35,583367.61
Shri Chintamani Yashwant Sahakari Sakhar Karkhana Ltd.,Sterling Chemicals & Alcohols Pvt. Ltd.,9682.4,13.49,130600.03
Shri Chintamani Yashwant Sahakari Sakhar Karkhana Ltd.,Sterling Chemicals & Alcohols Pvt. Ltd.,9682.4,13.49,130600.03
Rajgad Sahakari Sakhar Karkhana Ltd.,Sterling Chemicals & Alcohols Pvt. Ltd.,3458.0,21.95,75893.15
Shri Sant Tukaram Sahakari Sakhar Karkhana Ltd.,Sterling Chemicals & Alcohols Pvt. Ltd.,6916.0,23.4,161833.71
Sahakar Maharshi Shankarrao Kolhe S.S.K. Ltd.,The Sanjivani (Takli) SSK Ltd.,12448.8,3.02,37569.97
Karmaveer Shankarrao Kale Sahakari Sakhar Karkhana Ltd.,The Sanjivani (Takli) SSK Ltd.,11065.6,13.14,145431.18
Baramati Agro Ltd. (Unit-2),The Sanjivani (Takli) SSK Ltd.,9036.8,78.98,713701.46
Spica Green Energy & Agro Pvt. Ltd. / Ravalgaon Sakhar,The Sanjivani (Takli) SSK Ltd.,5532.8,82.63,457184.61
Belganga Sugar Factory (Old Ambaji Sugar Agro Industries Ltd.),The Sanjivani (Takli) SSK Ltd.,6916.0,86.27,596611.64
Nira Bhima Sahakari Sakhar Karkhana Ltd.,The Saswad Mali Sugar Factory Ltd.,9682.4,15.38,148938.59
Shiur Sahkar Karkhana Ltd.,Vaibhav Liquors Pvt. Ltd.,6916.0,57.72,399197.74
Natural Sugar and Allied Industries Ltd. (Unit-2),Vaibhav Liquors Pvt. Ltd.,6916.0,90.7,627282.03
Onkar Sakhar Karkhana Pvt. Ltd. Unit-8,Vaidyanath SSK Ltd.,12448.8,10.13,126135.45
Ambajogai Sahakari Sakhar Karkhana Ltd.,Vaidyanath SSK Ltd.,6916.0,20.67,142970.3
Ambajogai Sahakari Sakhar Karkhana Ltd.,Vaidyanath SSK Ltd.,6916.0,20.67,142970.3
G7 Sugar Ltd.,Vaidyanath SSK Ltd.,11188.8,29.68,332138.34
Yogeshwari Sugar Industries Pvt. Ltd.,Vaidyanath SSK Ltd.,4149.6,42.09,174660.35
Yedeshwari Agro Products Ltd.,Vaidyanath SSK Ltd.,9682.4,45.96,444985.68
Gangamauli Sugar and Allied Industries Pvt. Ltd.,Vaidyanath SSK Ltd.,6916.0,47.05,325385.97
Gangamauli Sugar and Allied Industries Pvt. Ltd.,Vaidyanath SSK Ltd.,6916.0,47.05,325385.97
Shree Tuljabhavani Sugar Pvt. Ltd.,Vaidyanath SSK Ltd.,922.4,72.73,67083.85
Shri Dutt India Pvt. Ltd. (Operator of Vasantdada SSK Ltd.),Vasantdada SSK Ltd.,20748.0,3.43,71222.08
Shree Datta Shetkari S.S.K. Ltd.,Vasantdada SSK Ltd.,19364.8,11.03,213561.96
Deshbhakta Ratnappa Kumbhar Panchganga S.S.K. Ltd.,Vasantdada SSK Ltd.,13832.0,21.07,291479.6
Mohanrao Shinde Sahakari Sakhar Karkhana Ltd.,Vasantdada SSK Ltd.,11065.6,21.8,241239.17
